mode,lambda
0.0,0.06509609919008301
1.0,0.14974230904229913
2.0,0.2474375614907153
3.0,0.25535566588889935
4.0,0.2626258281810973
5.0,0.271013909011725
6.0,0.40493626144033423
7.0,0.4346828555154472
8.0,0.49176631101011303
9.0,0.5250220962605785
10.0,0.5390516287247801
11.0,0.5709330610191655
12.0,0.5979206727667159
13.0,0.6080728926804385
14.0,0.6471192742108512
15.0,0.6687367254321349
16.0,0.7041027206367907
17.0,0.7213019704668432
18.0,0.7377492682623915
19.0,0.766576566196298
20.0,0.7694193675820887
21.0,0.8203290685620948
22.0,0.8600803840015928
23.0,0.878884302198422
24.0,0.8983351835060939
25.0,0.9139630252110411
26.0,0.9555053261302487
27.0,0.9789542501331829
28.0,0.9890536532135257
29.0,1.0061089872601419
30.0,1.0317339077343202
31.0,1.0489107976468068
32.0,1.0627398727556485
33.0,1.0789447144749769
34.0,1.0986785515568387
35.0,1.1340209898981304
36.0,1.1833140699383724
37.0,1.1916459876436016
38.0,1.2337369107542646
39.0,1.2527460586450159
40.0,1.303091657435986
41.0,1.3350092124425916
42.0,1.3962715944313113
43.0,1.4157694617054826
44.0,1.4534361391078856
45.0,1.4718562730801332
46.0,1.5045992876506513
47.0,1.5471721071790014
48.0,1.569187352002187
49.0,1.5761454197780551
50.0,1.5914228758437143
51.0,1.6495056165993591
52.0,1.6851541906160854
53.0,1.734665018913141
54.0,1.7449682451337685
55.0,1.7753712158697708
56.0,1.8245816202461465
57.0,1.829861679537693
58.0,1.8788429702238076
59.0,1.920521519564331
60.0,1.9616808792790432
61.0,1.991230331581834
62.0,2.014955716437387
63.0,2.038027831833783
64.0,2.078170708916801
65.0,2.1327850219751694
66.0,2.1796513345795128
67.0,2.2262452051790547
68.0,2.335221136598899
69.0,2.351133926348208
70.0,2.3742881196153136
71.0,2.4625045533112613
72.0,2.480268795264447
73.0,2.520390659482754
74.0,2.5471697153779784
75.0,2.575527377786646
76.0,2.6383181075717497
77.0,2.688115495760809
78.0,2.7260890145491987
79.0,2.771785704862283
80.0,2.823872747297805
81.0,2.854514997230473
82.0,2.880510889908169
83.0,2.901062962108251
84.0,2.9726524738245934
85.0,3.044329512323742
86.0,3.0574646272686046
87.0,3.10500521176081
88.0,3.133336895758502
89.0,3.189438665300857
90.0,3.2490859043701366
91.0,3.263139062073967
92.0,3.3207439188891152
93.0,3.3409324651232057
94.0,3.4108730118461157
95.0,3.450205165732508
96.0,3.472410799498004
97.0,3.5368053734316356
98.0,3.581920349626324
99.0,3.608547953806272
100.0,3.6359973401550323
101.0,3.6818836989006676
102.0,3.747760035409004
103.0,3.8097803292880688
104.0,3.8530764727987012
105.0,3.881908391653703
106.0,3.945037545794379
107.0,4.012148769697365
108.0,4.059507893878183
109.0,4.139481618710424
110.0,4.207880405466362
111.0,4.271314627110428
112.0,4.311328824764131
113.0,4.359763182107464
114.0,4.425439468306926
115.0,4.51636185760371
116.0,4.568784152977721
117.0,4.657461941293774
118.0,4.707566772719374
119.0,4.74886937055608
120.0,4.872484348430349
121.0,4.975121398212233
122.0,5.004258087486017
123.0,5.122899806846407
124.0,5.174765852625722
125.0,5.332578898923332
126.0,5.404934162191354
127.0,5.458351528342175
128.0,5.572540652486811
129.0,5.728310271966524
130.0,5.759593558631864
131.0,6.021138074454528
132.0,6.288218340122305
133.0,6.4516976710112655
134.0,6.509785091770146
135.0,6.604430233193514
136.0,6.694718599756938
137.0,6.976953509315792
138.0,7.116951549663963
139.0,7.407020171892081
140.0,7.674035228668969
141.0,7.8167426640847255
142.0,8.001771482669332
143.0,8.232287193236672
144.0,8.585420637178654
145.0,9.200603690706032
146.0,9.326820785297778
147.0,9.715747279601375
148.0,9.791762325920551
149.0,11.144882288323911
